kepid,kepoi_name,detected_period,catalog_period,bls_power,koi_kepmag,data_points,period_match
2696703,K03161.01,1.56,6.0941,12177416.2123,9.58,436,74.4
2696703,K03161.01,1.56,6.0941,12177416.2123,9.58,436,74.4
11709006,K08061.01,2.18,0.7197,5049406.1596,8.78,467,202.9
7022603,K05346.01,6.54,21.1273,4872431.4242,8.79,469,69.04
4150611,K03156.04,0.5,94.2245,2018766.2122,7.9,455,99.47
4150611,K03156.01,0.5,0.7611,2018766.2122,7.9,455,34.31
4150611,K03156.01,0.5,0.7611,2018766.2122,7.9,455,34.31
11502218,K00970.01,13.69,3.9886,464379.8714,6.97,1605,243.23
11502218,K00970.01,13.69,3.9886,464379.8714,6.97,1605,243.23
11180361,K00971.01,0.53,0.5331,458631.1319,7.75,1622,0.58
11180361,K00971.01,0.53,0.5331,458631.1319,7.75,1622,0.58
11180361,K00971.01,0.53,0.5331,458631.1319,7.75,1622,0.58
6670742,K06753.01,0.53,72.282,221395.1648,9.28,468,99.27
6670742,K06753.01,0.53,72.282,221395.1648,9.28,468,99.27
6670742,K06753.01,0.53,72.282,221395.1648,9.28,468,99.27
11231334,K00258.01,2.84,4.1574,157736.5988,9.89,469,31.69
3230227,K06311.01,0.55,7.0471,77262.1253,9.0,440,92.2
6032730,K06141.01,1.97,96.5092,46319.2184,8.65,469,97.96
6032730,K06141.01,1.97,96.5092,46319.2184,8.65,469,97.96
6032730,K06141.01,1.97,96.5092,46319.2184,8.65,469,97.96
3441784,K00976.01,0.51,52.569,34730.363,9.73,469,99.03
3441784,K00976.01,0.51,52.5691,34730.363,9.73,469,99.03
3441784,K00976.01,0.51,52.5691,34730.363,9.73,469,99.03
3441784,K00976.01,0.51,52.569,34730.363,9.73,469,99.03
8848288,K03886.01,7.22,5.5665,25703.6639,9.84,469,29.7
8848288,K03886.01,7.22,5.5665,25703.6639,9.84,469,29.7
10614012,K01807.01,4.53,132.1342,7514.2178,9.71,466,96.57
10614012,K01807.01,4.53,132.1331,7514.2178,9.71,466,96.57
5108214,K01924.01,2.1,2.1191,2186.7015,7.84,467,0.9
5108214,K01924.01,2.1,2.1191,2186.7015,7.84,467,0.9
10290021,K07305.01,5.94,3.7292,1841.3415,9.98,469,59.28
10290021,K07305.01,5.94,3.7292,1841.3415,9.98,469,59.28
10290021,K07305.01,5.94,3.7292,1841.3415,9.98,469,59.28
11013201,K00972.02,8.22,7.8219,1000.2569,9.28,469,5.09
11013201,K00972.02,8.22,7.8226,1000.2569,9.28,469,5.08
11013201,K00972.02,8.22,7.8219,1000.2569,9.28,469,5.09
9414417,K00974.01,2.79,53.5058,575.7083,9.58,465,94.79
9414417,K00974.01,2.79,53.5061,575.7083,9.58,465,94.79
9414417,K00974.01,2.79,53.5058,575.7083,9.58,465,94.79
9414417,K00974.01,2.79,53.5061,575.7083,9.58,465,94.79
9414417,K00974.01,2.79,53.5058,575.7083,9.58,465,94.79
9414417,K00974.01,2.79,53.5058,575.7083,9.58,465,94.79
9414417,K00974.01,2.79,53.5058,575.7083,9.58,465,94.79
3848948,K05016.01,0.81,0.5236,213.1798,10.06,468,54.7
6790592,K07791.01,2.82,106.1873,42.8579,10.03,464,97.34
6790592,K07791.01,2.82,106.1873,42.8579,10.03,464,97.34
6790592,K07791.01,2.82,106.1873,42.8579,10.03,464,97.34
6876575,K07572.01,4.02,91.0699,20.6951,9.75,469,95.59
6876575,K07572.01,4.02,91.0699,20.6951,9.75,469,95.59
6876575,K07572.01,4.02,91.0699,20.6951,9.75,469,95.59
