kepid,kepoi_name,detected_period,catalog_period,bls_power,koi_kepmag,data_points,period_match
11709006,K08061.01,2.24,0.7197,13185463.9211,8.78,49032,211.24
7022603,K05346.01,18.47,21.1273,13166258.982,8.79,49032,12.58
2696703,K03161.01,1.56,6.0941,12177416.2123,9.58,436,74.4
2696703,K03161.01,1.56,6.0941,12177416.2123,9.58,436,74.4
4150611,K03156.04,1.43,94.2245,8134425.7949,7.9,41767,98.48
4150611,K03156.01,1.43,0.7611,8134425.7949,7.9,41767,87.89
4150611,K03156.01,1.43,0.7611,8134425.7949,7.9,41767,87.89
3230227,K06311.01,7.05,7.0471,1063910.0745,9.0,47891,0.04
11180361,K00971.01,0.53,0.5331,971662.9453,7.75,37468,0.58
11180361,K00971.01,0.53,0.5331,971662.9453,7.75,37468,0.58
11180361,K00971.01,0.53,0.5331,971662.9453,7.75,37468,0.58
11502218,K00970.01,13.69,3.9886,464379.8714,6.97,1605,243.23
11502218,K00970.01,13.69,3.9886,464379.8714,6.97,1605,243.23
6670742,K06753.01,7.42,72.282,172369.3785,9.28,41758,89.73
6670742,K06753.01,7.42,72.282,172369.3785,9.28,41758,89.73
6670742,K06753.01,7.42,72.282,172369.3785,9.28,41758,89.73
6032730,K06141.01,0.94,96.5092,117594.0706,8.65,43975,99.03
6032730,K06141.01,0.94,96.5092,117594.0706,8.65,43975,99.03
6032730,K06141.01,0.94,96.5092,117594.0706,8.65,43975,99.03
11231334,K00258.01,2.87,4.1574,112041.2206,9.89,38240,30.97
3441784,K00976.01,0.51,52.569,34730.363,9.73,469,99.03
3441784,K00976.01,0.51,52.5691,34730.363,9.73,469,99.03
3441784,K00976.01,0.51,52.569,34730.363,9.73,469,99.03
3441784,K00976.01,0.51,52.5691,34730.363,9.73,469,99.03
8848288,K03886.01,7.22,5.5665,25703.6639,9.84,469,29.7
8848288,K03886.01,7.22,5.5665,25703.6639,9.84,469,29.7
11013201,K00972.02,15.77,7.8219,10913.4141,9.28,41808,101.61
11013201,K00972.02,15.77,7.8226,10913.4141,9.28,41808,101.6
11013201,K00972.02,15.77,7.8219,10913.4141,9.28,41808,101.61
10614012,K01807.01,4.53,132.1342,7514.2178,9.71,466,96.57
10614012,K01807.01,4.53,132.1331,7514.2178,9.71,466,96.57
10290021,K07305.01,11.22,3.7292,2896.659,9.98,42771,200.87
10290021,K07305.01,11.22,3.7292,2896.659,9.98,42771,200.87
10290021,K07305.01,11.22,3.7292,2896.659,9.98,42771,200.87
9414417,K00974.01,11.72,53.5058,2503.0821,9.58,41681,78.1
9414417,K00974.01,11.72,53.5061,2503.0821,9.58,41681,78.1
9414417,K00974.01,11.72,53.5058,2503.0821,9.58,41681,78.1
9414417,K00974.01,11.72,53.5061,2503.0821,9.58,41681,78.1
9414417,K00974.01,11.72,53.5058,2503.0821,9.58,41681,78.1
9414417,K00974.01,11.72,53.5058,2503.0821,9.58,41681,78.1
9414417,K00974.01,11.72,53.5058,2503.0821,9.58,41681,78.1
5108214,K01924.01,2.1,2.1191,2186.7015,7.84,467,0.9
5108214,K01924.01,2.1,2.1191,2186.7015,7.84,467,0.9
3848948,K05016.01,0.8,0.5236,175.7909,10.06,14135,52.79
6790592,K07791.01,2.82,106.1873,42.8579,10.03,464,97.34
6790592,K07791.01,2.82,106.1873,42.8579,10.03,464,97.34
6790592,K07791.01,2.82,106.1873,42.8579,10.03,464,97.34
6876575,K07572.01,4.02,91.0699,20.6951,9.75,469,95.59
6876575,K07572.01,4.02,91.0699,20.6951,9.75,469,95.59
6876575,K07572.01,4.02,91.0699,20.6951,9.75,469,95.59
