kepid,kepoi_name,detected_period,catalog_period,bls_power,koi_kepmag,data_points,period_match,classification,reason
11502218,K00970.01,13.69,3.9886,464379.8714,6.97,1605,243.23,FALSE POSITIVE,Period mismatch >150% — BLS detected unrelated signal
11180361,K00971.01,0.53,0.5331,971662.9453,7.75,37468,0.58,STRONG,Period match 0.6% with good BLS power
5108214,K01924.01,2.1,2.1191,2186.7015,7.84,467,0.9,STRONG,Period match 0.9% with good BLS power
4150611,K03156.04,1.43,94.2245,8134425.7949,7.9,41767,98.48,WEAK,Period mismatch 98.5% — partial signal only
6032730,K06141.01,0.94,96.5092,117594.0706,8.65,43975,99.03,WEAK,Period mismatch 99.0% — partial signal only
11709006,K08061.01,2.24,0.7197,13185463.9211,8.78,49032,211.24,FALSE POSITIVE,Period mismatch >150% — BLS detected unrelated signal
7022603,K05346.01,18.47,21.1273,13166258.982,8.79,49032,12.58,STRONG,Period match 12.6% with good BLS power
3230227,K06311.01,7.05,7.0471,1063910.0745,9.0,47891,0.04,STRONG,Period match 0.0% with good BLS power
11013201,K00972.02,15.77,7.8226,10913.4141,9.28,41808,101.6,FALSE POSITIVE,Detected period >> catalog — likely harmonic alias
6670742,K06753.01,7.42,72.282,172369.3785,9.28,41758,89.73,WEAK,Period mismatch 89.7% — partial signal only
2696703,K03161.01,1.56,6.0941,12177416.2123,9.58,436,74.4,WEAK,Period mismatch 74.4% — partial signal only
9414417,K00974.01,11.72,53.5058,2503.0821,9.58,41681,78.1,WEAK,Period mismatch 78.1% — partial signal only
10614012,K01807.01,4.53,132.1342,7514.2178,9.71,466,96.57,WEAK,Period mismatch 96.6% — partial signal only
3441784,K00976.01,0.51,52.569,34730.363,9.73,469,99.03,WEAK,Period mismatch 99.0% — partial signal only
6876575,K07572.01,4.02,91.0699,20.6951,9.75,469,95.59,WEAK,Period mismatch 95.6% — partial signal only
8848288,K03886.01,7.22,5.5665,25703.6639,9.84,469,29.7,MODERATE,Period mismatch 29.7% — possible detection
11231334,K00258.01,2.87,4.1574,112041.2206,9.89,38240,30.97,MODERATE,Period mismatch 31.0% — possible detection
10290021,K07305.01,11.22,3.7292,2896.659,9.98,42771,200.87,FALSE POSITIVE,Period mismatch >150% — BLS detected unrelated signal
6790592,K07791.01,2.82,106.1873,42.8579,10.03,464,97.34,WEAK,Period mismatch 97.3% — partial signal only
3848948,K05016.01,0.8,0.5236,175.7909,10.06,14135,52.79,WEAK,Period mismatch 52.8% — partial signal only
