kepoi_name,period_days,orbital_dist_AU,planet_radius_earth,planet_type,stellar_mass_solar,stellar_temp_K,luminosity_solar,hz_inner_AU,hz_outer_AU,in_habitable_zone,koi_kepmag
K00115.03,3.4359,0.0437,0.55,Rocky (Earth-like),0.941,5779.0,1.1824,1.033,1.4897,False,12.791
K01168.01,856.6721,1.8017,3.87,Mini-Neptune,1.063,6449.0,2.6591,1.5491,2.234,True,13.997
K01169.01,0.6892,0.0156,1.32,Super-Earth,1.064,5630.0,0.8204,0.8605,1.2409,False,13.248
K00970.01,3.9886,0.0622,34.39,Super-Jupiter,2.016,4813.0,89.7317,8.999,12.9776,False,6.974
K00971.01,0.5331,0.0166,133.56,Super-Jupiter,2.166,8523.0,77.6934,8.3737,12.0757,False,7.748
K01174.01,129995.7784,44.9528,2.99,Mini-Neptune,0.717,4500.0,0.1939,0.4183,0.6033,False,13.447
K00972.02,7.8219,0.0975,2.78,Mini-Neptune,2.018,7221.0,43.8542,6.2911,9.0725,False,9.275
K00974.01,53.5058,0.2932,2.52,Mini-Neptune,1.174,6247.0,4.2422,1.9567,2.8217,False,9.582
K01118.01,7.3729,0.0737,2.67,Mini-Neptune,0.982,5973.0,1.3075,1.0863,1.5665,False,13.835
K00141.01,2.6242,0.0368,5.11,Gas Giant,0.963,5340.0,0.5896,0.7295,1.052,False,13.687
K01206.01,422.9177,1.1042,5.89,Gas Giant,1.004,5796.0,2.1112,1.3803,1.9906,False,13.642
K01154.01,6.8108,0.0798,26.06,Super-Jupiter,1.461,7226.0,10.5728,3.089,4.4547,False,12.628
K01032.01,1500.1407,2.6339,18.35,Super-Jupiter,1.083,5009.0,2.9438,1.63,2.3506,False,13.862
K01431.01,345.1589,0.9732,7.79,Gas Giant,1.032,5597.0,0.7632,0.8299,1.1969,True,13.46
K01242.01,99.6443,0.4274,8.48,Gas Giant,1.049,6102.0,1.284,1.0765,1.5524,False,13.75
K01315.01,6.8464,0.0732,1.9,Super-Earth,1.115,6065.0,2.0833,1.3712,1.9774,False,13.137
K01445.02,54.3256,0.2994,0.76,Rocky (Earth-like),1.213,6343.0,1.8775,1.3017,1.8772,False,12.32
K01271.01,162.048,0.6339,11.52,Super-Jupiter,1.294,6309.0,3.4904,1.7748,2.5595,False,13.632
K01208.01,700.003,1.61,6.43,Gas Giant,1.136,6487.0,1.9859,1.3388,1.9306,True,13.594
K01619.01,20.6654,0.129,0.66,Rocky (Earth-like),0.671,4830.0,0.2231,0.4487,0.6471,False,11.759
K01622.01,69.8348,0.4018,3.51,Mini-Neptune,1.774,7732.0,13.1105,3.4398,4.9606,False,12.02
K01639.02,9.9824,0.0934,1.17,Rocky (Earth-like),1.092,6273.0,1.8023,1.2754,1.8392,False,13.538
