kepoi_name,period_days,orbital_dist_AU,planet_radius_earth,planet_type,stellar_mass_solar,stellar_temp_K,luminosity_solar,hz_inner_AU,hz_outer_AU,in_habitable_zone,koi_kepmag
K03444.02,60.3267,0.2539,29.78,Super-Jupiter,0.6,3842.0,0.0699,0.2512,0.3622,True,13.693
K03444.02,60.3267,0.2445,4.98,Gas Giant,0.536,3705.0,0.0473,0.2066,0.298,True,13.693
K03444.02,60.3267,0.2539,29.78,Super-Jupiter,0.6,3842.0,0.0699,0.2512,0.3622,True,13.693
K03444.02,60.3267,0.2539,29.78,Super-Jupiter,0.6,3842.0,0.0699,0.2512,0.3622,True,13.693
K03811.01,290.1402,0.7616,6.53,Gas Giant,0.7,5551.0,0.4959,0.669,0.9648,True,13.906
K03811.01,290.1402,0.7616,6.53,Gas Giant,0.7,5551.0,0.4959,0.669,0.9648,True,13.906
K03811.01,290.1402,0.7616,6.53,Gas Giant,0.7,5551.0,0.4959,0.669,0.9648,True,13.906
K08174.01,295.0607,0.7731,0.64,Rocky (Earth-like),0.708,5332.0,0.4211,0.6165,0.889,True,11.922
K08174.01,295.0607,0.7731,0.64,Rocky (Earth-like),0.708,5332.0,0.4211,0.6165,0.889,True,11.922
K01431.01,345.1589,0.9732,7.79,Gas Giant,1.032,5597.0,0.7632,0.8299,1.1969,True,13.46
K01431.01,345.1589,0.9732,7.79,Gas Giant,1.032,5597.0,0.7632,0.8299,1.1969,True,13.46
K01431.01,345.1599,0.9801,7.95,Gas Giant,1.054,5628.0,0.8175,0.8589,1.2387,True,13.46
K01431.01,345.1599,0.9801,7.95,Gas Giant,1.054,5628.0,0.8175,0.8589,1.2387,True,13.46
K05389.01,365.7399,0.9388,1.73,Super-Earth,0.825,5420.0,0.7032,0.7966,1.1488,True,12.962
K07587.01,366.0841,0.9839,2.19,Mini-Neptune,0.948,5941.0,0.9981,0.9491,1.3687,True,11.616
K07587.01,366.0889,0.9839,2.57,Mini-Neptune,0.948,5941.0,0.9981,0.9491,1.3687,True,11.616
K07587.01,366.0889,0.9839,2.57,Mini-Neptune,0.948,5941.0,0.9981,0.9491,1.3687,True,11.616
K05737.01,376.2425,1.0118,1.32,Super-Earth,0.976,5916.0,1.0128,0.9561,1.3787,True,13.772
K05737.01,376.2425,1.0118,1.32,Super-Earth,0.976,5916.0,1.0128,0.9561,1.3787,True,13.772
K07470.01,392.5011,1.0016,1.9,Super-Earth,0.87,5128.0,0.6056,0.7393,1.0661,True,13.87
K07470.01,392.5011,1.0016,1.9,Super-Earth,0.87,5128.0,0.6056,0.7393,1.0661,True,13.87
K05948.01,398.5131,0.9961,1.23,Rocky (Earth-like),0.83,5776.0,0.5753,0.7206,1.0391,True,13.843
K05948.01,398.5131,0.9961,1.23,Rocky (Earth-like),0.83,5776.0,0.5753,0.7206,1.0391,True,13.843
K08253.01,400.1148,1.0645,0.95,Rocky (Earth-like),1.005,5547.0,0.705,0.7977,1.1503,True,13.521
K08253.01,400.1148,1.0645,0.95,Rocky (Earth-like),1.005,5547.0,0.705,0.7977,1.1503,True,13.521
K06239.01,406.4962,1.058,1.77,Super-Earth,0.956,5847.0,0.8195,0.86,1.2402,True,13.893
K06239.01,406.4962,1.058,1.77,Super-Earth,0.956,5847.0,0.8195,0.86,1.2402,True,13.893
K08272.01,432.4279,1.144,1.14,Rocky (Earth-like),1.068,6263.0,1.4054,1.1262,1.6241,True,13.814
K08272.01,432.4279,1.144,1.14,Rocky (Earth-like),1.068,6263.0,1.4054,1.1262,1.6241,True,13.814
K05833.01,440.161,1.1203,3.28,Mini-Neptune,0.968,6277.0,1.3569,1.1066,1.5959,True,13.014
K05833.01,440.161,1.1203,3.28,Mini-Neptune,0.968,6277.0,1.3569,1.1066,1.5959,True,13.014
K02194.03,445.2169,1.0602,1.37,Super-Earth,0.802,5670.0,0.8369,0.8691,1.2533,True,13.865
K02194.03,445.2169,1.0602,1.37,Super-Earth,0.802,5670.0,0.8369,0.8691,1.2533,True,13.865
K02194.03,445.2291,1.1412,1.43,Super-Earth,1.0,6038.0,1.0137,0.9565,1.3794,True,13.865
K04878.01,449.015,1.1368,1.04,Rocky (Earth-like),0.972,6031.0,1.3539,1.1054,1.5941,True,12.291
K04878.01,449.015,1.1368,1.04,Rocky (Earth-like),0.972,6031.0,1.3539,1.1054,1.5941,True,12.291
K04878.01,449.015,1.1368,1.04,Rocky (Earth-like),0.972,6031.0,1.3539,1.1054,1.5941,True,12.291
K04988.01,484.172,1.2555,2.38,Mini-Neptune,1.126,5858.0,1.1428,1.0156,1.4646,True,13.881
K06108.01,485.923,1.1281,1.07,Rocky (Earth-like),0.811,5551.0,0.7802,0.8391,1.2101,True,12.12
K06108.01,485.923,1.1281,1.07,Rocky (Earth-like),0.811,5551.0,0.7802,0.8391,1.2101,True,12.12
K03456.02,486.127,1.1986,1.18,Rocky (Earth-like),0.972,6008.0,1.3184,1.0908,1.5731,True,12.988
K03456.02,486.127,1.1986,1.18,Rocky (Earth-like),0.972,6008.0,1.3184,1.0908,1.5731,True,12.988
K05610.01,495.4046,1.2615,152.21,Super-Jupiter,1.091,6225.0,1.4321,1.1369,1.6395,True,13.825
K05498.01,519.7981,1.2962,46.12,Super-Jupiter,1.075,6254.0,1.5538,1.1842,1.7077,True,12.651
K05609.01,535.1515,1.2446,2.7,Mini-Neptune,0.898,5468.0,1.6241,1.2107,1.7459,True,12.706
K06464.03,541.743,1.3402,3.39,Mini-Neptune,1.094,6373.0,1.6224,1.21,1.745,True,13.718
K05938.01,545.2056,1.3372,1.66,Super-Earth,1.073,6273.0,1.8533,1.2933,1.8651,True,12.812
K05938.01,545.2056,1.3372,1.66,Super-Earth,1.073,6273.0,1.8533,1.2933,1.8651,True,12.812
K05236.01,550.8598,1.3527,1.98,Super-Earth,1.088,6241.0,1.4469,1.1427,1.6479,True,13.093
K05236.01,550.8598,1.3527,1.98,Super-Earth,1.088,6241.0,1.4469,1.1427,1.6479,True,13.093
K05236.01,550.8651,1.3393,2.06,Mini-Neptune,1.056,5912.0,1.3626,1.1089,1.5992,True,13.093
K05949.01,559.7856,1.3342,1.88,Super-Earth,1.011,6201.0,1.6374,1.2156,1.7531,True,13.295
