kepid,kepoi_name,catalog_period,detected_period,period_match_pct,bls_power
4150611,K03156.01,0.7611,0.5,31.38,2018752.9861
6032730,K06141.01,96.5092,4.0,91.71,35029.67976
3230227,K06311.01,7.0471,0.55,84.39,77258.46832
6670742,K06753.01,72.282,5.3,85.34,144544.26018
2696703,K03161.01,6.0941,1.55,49.13,12168734.771
9414417,K00974.01,53.5061,2.8,89.53,563.11811
10614012,K01807.01,132.1342,4.6,93.04,6966.39206
3441784,K00976.01,52.569,5.5,79.08,34119.11915
6876575,K07572.01,91.0699,4.0,91.22,17.35142
6790592,K07791.01,106.1873,2.8,94.73,41.08724
7296438,K00364.01,173.9285,0.7,99.2,55.87625
9955262,K00076.01,77.4797,4.6,88.13,11376.3996
1025986,K07621.01,275.0736,3.4,97.53,1705137.94589
8176564,K02720.01,6.5716,2.0,39.13,88.49269
12167361,K00980.01,47.931,0.9,96.24,387.07483
4450844,K03168.01,56.3481,5.4,80.83,71.95942
12168280,K08297.01,229.9575,3.4,97.04,2928.8205
6117415,K06019.01,19.7416,6.6594,32.53,7394.97157
9268159,K08180.01,185.9753,5.3,94.3,5782.76055
3425851,K00268.01,110.3784,8.0,85.5,140.76943
8718273,K05564.01,3.4795,2.55,26.71,18855.03459
10214328,K07296.01,659.3457,1.8,99.45,888.76478
12021387,K03522.01,241.0715,6.0,95.02,412.5878
8197761,K06175.01,9.8687,0.95,80.75,8258617.84467
5513648,K01962.01,32.8586,5.9,64.09,1281.14645
7199397,K00075.01,105.8853,1.9,96.41,84.21119
5380812,K06570.01,16.2145,0.7594,90.63,90877.81938
3545840,K06102.01,54.2916,2.8,89.69,15249.50763
6266866,K05254.01,232.9161,6.2,94.68,15.88564
8279146,K05497.01,93.3597,5.2,88.86,88.61322
5460434,K07729.01,50.5637,3.4,86.55,2745.0237
7431665,K06877.01,281.5028,2.2,98.44,9738.07709
10155286,K07988.01,333.4862,4.3,97.42,1715.32779
8297017,K07879.01,128.2086,9.8,84.71,1502.90196
7222086,K01701.01,2.439,1.7,30.3,505.43659
6268648,K01613.02,94.094,1.5,96.81,12.64909
9775385,K04462.01,45.163,0.7,96.9,2242.17382
11251991,K05881.01,134.3587,3.0,95.53,212.29138
8868481,K05578.01,388.0485,1.8,99.07,41.31241
11338091,K08221.01,293.3864,7.5,94.89,83.41684
9475697,K05684.01,206.8011,5.7,94.49,2621.63606
9173014,K05633.01,151.7788,0.8,98.95,1929.01376
9166700,K05632.01,264.4666,3.4,97.43,1575.59874
3003992,K01119.02,13.5548,0.7711,88.62,19.83754
4735826,K03184.03,4.0202,1.4,30.35,33.62404
9178894,K05635.01,113.9932,5.6,90.17,805.55025
8652997,K05554.01,362.222,1.6,99.12,14.03037
11623629,K00365.02,117.761,4.0,93.21,34.33572
2013883,K06258.01,0.7646,4.6,100.54,60.93838
11081504,K04287.01,13.1231,1.2874,80.38,32.41003
1575873,K04359.01,0.629,3.35,77.53,469.50716
11970288,K07501.01,20.7106,6.9617,32.77,1197.99148
9552608,K00080.01,9.2506,0.75,83.78,219.71048
5617510,K06605.01,74.3717,4.7,87.36,13788.8985
4663185,K03805.01,56.6995,3.2,88.71,7036.16284
12402588,K05968.01,97.9424,8.6,82.44,116.30145
10272858,K05782.01,584.556,1.0,99.66,292.65583
6603043,K00368.01,110.3217,2.5,95.47,8.50277
5802205,K08107.01,578.8876,0.6,99.79,15.98582
7103300,K06819.01,3.2262,0.7,56.61,12.06909
8517303,K06181.01,24.0764,4.1596,65.45,18136.61066
7429287,K04260.04,84.7998,1.7,95.99,43.19265
5985713,K03190.01,8.953,1.95,56.44,11.79471
11282568,K07430.01,1.3205,0.85,28.74,3384.2114
8009811,K05459.01,53.5537,6.9,74.23,4932.42235
10467815,K03191.02,371.1757,7.3,96.07,474.33122
7375348,K00266.02,47.7436,1.7,92.88,20.6445
9394953,K05665.01,100.4941,5.2,89.65,36.63739
10187017,K00082.06,22.4099,6.6851,40.34,1043.77429
4075067,K03777.01,17.7476,1.3519,84.77,225031.3044
7206422,K05373.01,50.5508,7.7,69.54,453.86112
8453324,K07044.01,1.2623,4.65,22.79,2518.21883
5695396,K00283.03,9.4881,7.0,26.22,5227.24435
8443527,K03197.01,22.5995,5.9239,47.58,38450.45626
8223568,K06176.01,143.0969,2.0,97.2,2963.08233
9822284,K04807.01,0.9698,4.35,49.51,80.75937
5131276,K05129.01,0.6688,4.65,131.75,45253.22442
11506938,K05906.01,22.5756,6.8212,39.57,588.86914
8096395,K07587.01,366.0841,8.1,95.57,13795.30232
8005002,K05457.01,578.2162,6.3,97.82,833.95474
12016267,K02590.02,22.7909,3.3261,70.81,55.3291
7592529,K06889.01,75.9067,1.7,95.52,21.31376
4953262,K05110.01,105.5902,9.1,82.76,546.00611
4680772,K04707.01,26.1903,0.9,93.13,12.58519
9469494,K07938.01,275.5603,3.1,97.75,601.70946
8554498,K00005.01,4.7803,0.5,79.08,19.48225
4049901,K02295.01,16.2909,2.3246,71.46,13.78918
3101178,K04963.01,59.4038,3.1,89.56,77.19619
8509781,K05529.01,70.3359,1.9,94.6,6220.31647
3545478,K00366.01,75.1122,4.1,89.08,520.62715
5308778,K06563.01,20.2828,5.8547,42.27,1710.85864
4262040,K03202.01,92.4648,5.6,87.89,52.58109
