kepid,kepoi_name,catalog_period (days),detected_period (days),period_match (%),bls_power,orbital_dist (AU),planet_radius (R_earth),planet_type,stellar_mass (solar),stellar_temp (K),luminosity (solar),hz_inner (AU),hz_outer (AU),in_habitable_zone,quarters_used,kepmag,star_type,au_below_hz_inner
11502218,K00970.01,3.9886,7.0,12.25,443038.07025,0.0622,34.39,Super-Jupiter,2.016,4813.0,89.7317,8.999,12.9776,False,1,6.974,4000-5000K (K dwarf),8.9368
11180361,K00971.01,0.5331,1.6,0.05,270160.29408,0.0166,133.56,Super-Jupiter,2.166,8523.0,77.6934,8.3737,12.0757,False,1,7.748,>7000K (A star),8.3571
5108214,K01924.01,2.1191,2.1,0.9,2186.70152,0.0356,1.35,Super-Earth,1.339,5799.0,5.7327,2.2746,3.2802,False,1,7.837,5000-6000K (G dwarf),2.239
11709006,K08061.01,0.7197,2.2,1.89,5041519.59459,0.0162,0.57,Rocky,1.101,6014.0,1.1573,1.022,1.4738,False,1,8.777,6000-7000K (F dwarf),1.0058
7022603,K05346.01,21.1273,9.289,12.07,4872431.42423,0.1762,20.47,Super-Jupiter,1.636,4024.0,224.3534,14.2295,20.5204,False,1,8.789,4000-5000K (K dwarf),14.0533
11013201,K00972.02,7.8226,7.0,10.52,928.88482,0.0981,1.73,Super-Earth,2.06,8002.0,31.3653,5.3205,7.6727,False,1,9.275,>7000K (A star),5.2224
8848288,K03886.01,5.5665,7.2,13.77,25607.95294,0.0786,34.67,Super-Jupiter,2.088,4781.0,73.6687,8.1539,11.7588,False,1,9.837,4000-5000K (K dwarf),8.0753
10290021,K07305.01,3.7292,5.95,6.37,1841.34151,0.0523,0.8,Rocky,1.37,6215.0,5.6255,2.2532,3.2494,False,1,9.976,6000-7000K (F dwarf),2.2009
3848948,K05016.01,0.5236,0.8,1.85,205.08788,0.0166,1.08,Rocky,2.225,8277.0,52.1163,6.8582,9.8902,False,1,10.061,>7000K (A star),6.8416
5598639,K06602.01,0.6488,0.65,0.19,2501162.97529,0.0136,41.43,Super-Jupiter,0.796,5143.0,0.378,0.5841,0.8423,False,1,10.201,5000-6000K (G dwarf),0.5705
9697131,K02706.01,3.0976,5.85,5.57,77948.45591,0.0464,1.8,Super-Earth,1.39,6491.0,5.7497,2.278,3.2851,False,1,10.268,6000-7000K (F dwarf),2.2316
8552540,K07054.01,0.531,1.1,3.58,35281367.49769,0.0128,90.31,Super-Jupiter,0.983,5951.0,1.1051,0.9987,1.4402,False,1,10.292,5000-6000K (G dwarf),0.9859
9579208,K03165.01,4.1176,2.1,2.0,1782.36004,0.0553,1.09,Rocky,1.33,6422.0,5.2229,2.1711,3.131,False,1,10.335,6000-7000K (F dwarf),2.1158
9457728,K04637.01,4.3799,8.65,1.25,367.9639,0.0558,0.73,Rocky,1.21,6390.0,5.1196,2.1495,3.0998,False,1,10.438,6000-7000K (F dwarf),2.0937
7352727,K05382.01,2.4565,4.25,13.49,40173.95323,0.0451,25.12,Super-Jupiter,2.027,4949.0,97.7566,9.3928,13.5455,False,1,10.45,4000-5000K (K dwarf),9.3477
