kepid,kepoi_name,catalog_period (days),detected_period (days),period_match (%),bls_power,orbital_dist (AU),planet_radius (R_earth),planet_type,stellar_mass (solar),stellar_temp (K),luminosity (solar),hz_inner (AU),hz_outer (AU),in_habitable_zone,quarters_used,kepmag,star_type,au_below_hz_inner,ESI,hz_center (AU),dist_from_hz_center (AU),hz_widths_from_center
4160669,K06391.01,2.1835,3.25,0.77,2455.07178,0.0179,7.9,Gas Giant,0.161,3200.0,0.0032,0.0539,0.0777,False,1,11.296,<4000K (M dwarf),0.036,0.2846,0.0658,0.0479,2.013
4276716,K01619.01,20.6654,9.0142,12.76,1132.76036,0.129,0.66,Rocky,0.671,4830.0,0.2231,0.4488,0.6472,False,1,11.759,4000-5000K (K dwarf),0.3198,0.354,0.548,0.41900000000000004,2.112
7430876,K03193.01,32.6122,46.6,4.74,17.52307,0.1998,23.98,Super-Jupiter,1.0,5780.0,1.0014,0.9507,1.3709,False,1,11.486,5000-6000K (G dwarf),0.7509,0.2129,1.1608,0.9610000000000001,2.287
9015738,K01616.02,34.7754,29.1,16.32,2935.33356,0.2184,0.67,Rocky,1.149,6028.0,1.2986,1.0826,1.5612,False,1,11.538,6000-7000K (F dwarf),0.8642,0.3263,1.3218999999999999,1.1035,2.306
7900450,K05441.01,25.4805,10.5,17.58,972.33133,0.1724,1.25,Super-Earth,1.052,6250.0,1.331,1.096,1.5805,False,1,13.181,6000-7000K (F dwarf),0.9236,0.3169,1.33825,1.1658499999999998,2.406
10616571,K00340.01,23.6732,27.298,15.31,855186.62595,0.1687,16.8,Super-Jupiter,1.142,5811.0,1.281,1.0752,1.5506,False,1,13.057,5000-6000K (G dwarf),0.9065,0.2146,1.3129,1.1441999999999999,2.407
1429589,K04923.01,38.1687,20.5,7.42,64.94666,0.2238,1.4,Super-Earth,1.026,6164.0,2.7798,1.5839,2.2842,False,1,13.195,6000-7000K (F dwarf),1.3601,0.308,1.93405,1.71025,2.442
4472818,K03878.02,15.3573,7.3801,3.89,10775.52528,0.1222,1.42,Super-Earth,1.032,5818.0,0.9994,0.9497,1.3696,False,1,12.72,5000-6000K (G dwarf),0.8275,0.3044,1.15965,1.03745,2.471
4044005,K00969.01,17.512,8.2753,5.49,1890.28536,0.1332,49.0,Super-Jupiter,1.027,5975.0,1.2897,1.0789,1.5558,False,1,12.336,5000-6000K (G dwarf),0.9457,0.17,1.31735,1.18415,2.483
7050060,K02215.01,22.0446,22.1919,0.67,94.09354,0.1514,1.03,Rocky,0.953,5974.0,1.8142,1.2796,1.8453,False,1,12.999,5000-6000K (G dwarf),1.1282,0.3108,1.5624500000000001,1.4110500000000001,2.494
