kepid,kepoi_name,catalog_period (days),detected_period (days),period_match (%),bls_power,orbital_dist (AU),planet_radius (R_earth),planet_type,stellar_mass (solar),stellar_temp (K),luminosity (solar),hz_inner (AU),hz_outer (AU),in_habitable_zone,quarters_used,kepmag,star_type,au_below_hz_inner,ESI,hz_center (AU),dist_from_hz_center (AU),hz_widths_from_center,radius_diff
4276716,K01619.01,20.6654,9.0142,12.76,1132.76036,0.129,0.66,Rocky,0.671,4830.0,0.2231,0.4488,0.6472,False,1,11.759,4000-5000K (K dwarf),0.3198,0.354,0.548,0.41900000000000004,2.112,0.33999999999999997
9015738,K01616.02,34.7754,29.1,16.32,2935.33356,0.2184,0.67,Rocky,1.149,6028.0,1.2986,1.0826,1.5612,False,1,11.538,6000-7000K (F dwarf),0.8642,0.3263,1.3218999999999999,1.1035,2.306,0.32999999999999996
7900450,K05441.01,25.4805,10.5,17.58,972.33133,0.1724,1.25,Super-Earth,1.052,6250.0,1.331,1.096,1.5805,False,1,13.181,6000-7000K (F dwarf),0.9236,0.3169,1.33825,1.1658499999999998,2.406,0.25
7050060,K02215.01,22.0446,22.1919,0.67,94.09354,0.1514,1.03,Rocky,0.953,5974.0,1.8142,1.2796,1.8453,False,1,12.999,5000-6000K (G dwarf),1.1282,0.3108,1.5624500000000001,1.4110500000000001,2.494,0.030000000000000027
1429589,K04923.01,38.1687,20.5,7.42,64.94666,0.2238,1.4,Super-Earth,1.026,6164.0,2.7798,1.5839,2.2842,False,1,13.195,6000-7000K (F dwarf),1.3601,0.308,1.93405,1.71025,2.442,0.3999999999999999
4472818,K03878.02,15.3573,7.3801,3.89,10775.52528,0.1222,1.42,Super-Earth,1.032,5818.0,0.9994,0.9497,1.3696,False,1,12.72,5000-6000K (G dwarf),0.8275,0.3044,1.15965,1.03745,2.471,0.41999999999999993
12456063,K04329.01,17.801,7.2644,18.38,25.37274,0.1351,0.71,Rocky,1.037,6338.0,1.4739,1.1534,1.6633,False,1,12.018,6000-7000K (F dwarf),1.0183,0.2996,1.40835,1.27325,2.497,0.29000000000000004
8581240,K03111.01,10.768,19.45,9.69,164.77192,0.094,0.92,Rocky,0.954,5874.0,1.2831,1.0761,1.5518,False,1,12.863,5000-6000K (G dwarf),0.9821,0.2995,1.3139500000000002,1.21995,2.565,0.07999999999999996
9936080,K04431.01,19.5651,9.3434,4.49,64.00194,0.1505,1.13,Rocky,1.188,6350.0,2.8347,1.5995,2.3066,False,1,12.674,6000-7000K (F dwarf),1.449,0.2993,1.95305,1.8025499999999999,2.549,0.1299999999999999
6523351,K03117.01,6.0666,6.95,14.56,615.48157,0.0643,0.87,Rocky,0.963,5569.0,0.6866,0.7872,1.1352,False,1,13.163,5000-6000K (G dwarf),0.7229,0.2957,0.9612,0.8969,2.577,0.13
